type_value,type_name,event_class,senior_international
1,Open,Open,TRUE
2,Challenger,Challenger,TRUE
3,WorldSeries,World Series,TRUE
4,WorldChampionship,World Championship,TRUE
5,OlympicGames,Olympic Games,TRUE
6,Satellite,Satellite,FALSE
7,ContinentalChampionship,Continental Championship,FALSE
8,OtherContinental,Other Continental,FALSE
9,Other,Other,FALSE
10,CevMasters,CEV Masters,FALSE
11,ContinentalCup,Continental Cup,FALSE
12,ContinentalTour,Continental Tour,FALSE
13,JuniorWorldChampionship,Junior World Championship,FALSE
14,YouthWorldChampionship,Youth World Championship,FALSE
15,NationalTour,National Tour,FALSE
16,NationalTourU23,National Tour U23,FALSE
17,NationalTourU21,National Tour U21,FALSE
18,NationalTourU19,National Tour U19,FALSE
19,NationalTourU20,National Tour U20,FALSE
20,NationalTourU17,National Tour U17,FALSE
21,NationalTourU15,National Tour U15,FALSE
22,ContinentalChampionshipU22,Continental Championship U22,FALSE
23,ContinentalChampionshipU20,Continental Championship U20,FALSE
24,ContinentalChampionshipU18,Continental Championship U18,FALSE
25,WorldChampionshipU23,World Championship U23,FALSE
26,WorldChampionshipU21,World Championship U21,FALSE
27,WorldChampionshipU19,World Championship U19,FALSE
28,NationalTourU14,National Tour U14,FALSE
29,NationalTourU16,National Tour U16,FALSE
30,NationalTourU18,National Tour U18,FALSE
31,WorldChampionshipU17,World Championship U17,FALSE
32,MajorSeries,Major Series,TRUE
33,WorldTourFinals,World Tour Finals,TRUE
34,ZonalTour,Zonal Tour,FALSE
35,Test,Test,FALSE
36,CevSnowTour,Snow Volleyball,FALSE
38,WorldTour5Star,5-Star,TRUE
39,WorldTour4Star,4-Star,TRUE
40,WorldTour3Star,3-Star,TRUE
41,WorldTour2Star,2-Star,TRUE
42,WorldTour1Star,1-Star,TRUE
43,YouthOlympicGames,Youth Olympic Games,FALSE
44,MultiSportsGames,Multi-Sport Games,FALSE
45,SnowVolleyballNationalChampionship,Snow Volleyball,FALSE
46,NationalTourU22,National Tour U22,FALSE
47,ContinentalChampionshipU21,Continental Championship U21,FALSE
48,ContinentalChampionshipU19,Continental Championship U19,FALSE
49,OlympicGamesQualification,Olympic Qualification,FALSE
50,KingOfTheCourt,King of the Court,FALSE
51,ProTourElite16,Elite16,TRUE
52,ProTourChallenge,Challenge,TRUE
53,ProTourFutures,Futures,FALSE
54,ProTourFinals,Pro Tour Finals,TRUE
55,WorldChampionshipQualification,World Championship Qualification,FALSE
65,GrandSlam,Grand Slam,TRUE
